Column1.nnanamearame,eligilevoters,eligilevotersmale,eligilevotersfemale
تونس,837594,415089,422505
أريانة,439375,221050,218325
بن عروس,484244,240564,243680
منوبة,292805,147151,145654
نابل,596407,299997,296408
زغوان,132349,65147,67202
بنزرت,433289,216521,216768
باجة,234917,116115,118802
جندوبة,311827,149906,161921
الكاف,190565,93385,97177
سليانة,167708,80796,86909
سوسة,505579,250982,254596
المنستير,403251,198858,204393
المهدية,297932,141341,156592
صفاقس,724686,361409,363279
القيروان,414099,199037,215064
القصرين,318060,155689,162371
سيدي بوزيد,319932,157511,162423
قابس,283096,136723,146375
مدنين,358122,171745,186377
تطاوين,112149,51800,60349
قفصة,255821,125041,130780
توزر,80159,39024,41135
قبلي,118262,57855,60407
